Designator,Footprint,Quantity,Value,LCSC Part #
50K1,Potentiometer_Bourns_3314G_Vertical,1,R_Trim,
"BATT_1, SOLE2",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Socket,
"C1, C2",C_Radial_D16.0mm_H31.5mm_P7.50mm,2,2200,
"C3, C5, C6",0603,3,0.1,
C4,CP_Radial_D5.0mm_P2.00mm,1,100,
"D1, D4",D_SOD-323,2,SBD,
"D2, D3",D_SOD-123F,2,D,
K1,SMDIP-8_W7.62mm,1,AQW212EHA,
L1,L_Sunlord_MWSA1204S-1R0,1,47,
LED_D1,0603,1,LED,
MAIN_1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
"Q1, Q2",TO-252-2,2,PMOS,
R1,1206,1,2k,C17944
"R10, R5",1206,2,1k,C1469
"R15, R4",2512,2,3.3k,C31884
R3,1206,1,1.6k,C4908
R6,2512,1,150,C25471
R7,2512,1,3k,C2934109
R8,1206,1,1.6k,C102100 
VR1,TO-263-5_TabPin6,1,LM2577SX-ADJ_NOPB,
